         4076295 function calls (3999034 primitive calls) in 8.830 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9127    0.010    0.000    0.021    0.000 ntpath.py:51(normcase)
        1    0.000    0.000    0.021    0.021 Image.py:1(<module>)
    15844    0.010    0.000    0.021    0.000 enum.py:359(__call__)
        2    0.000    0.000    0.021    0.010 pandas_compat.py:564(dataframe_to_arrays)
    19932    0.015    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      366    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        2    0.000    0.000    0.020    0.010 basevalidators.py:2779(validate_coerce)
     2275    0.002    0.000    0.020    0.000 re.py:202(sub)
        1    0.000    0.000    0.020    0.020 _discrete_distns.py:1(<module>)
        5    0.000    0.000    0.020    0.004 platform.py:903(system)
       10    0.000    0.000    0.020    0.002 platform.py:814(uname)
       25    0.000    0.000    0.020    0.001 castgraph.py:131(unsafe)
        1    0.000    0.000    0.020    0.020 _axes.py:65(Axes)
      129    0.001    0.000    0.020    0.000 _distn_infrastructure.py:740(_construct_argparser)
      366    0.002    0.000    0.020    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.020    0.020 pyarrow.py:1(<module>)
    96981    0.019    0.000    0.019    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.019    0.019 text_format.py:1(<module>)
        1    0.000    0.000    0.019    0.019 multiarray.py:1(<module>)
        2    0.018    0.009    0.019    0.009 datetimes.py:456(_array_strptime_with_fallback)
        3    0.000    0.000    0.019    0.006 loader.py:1(<module>)
    12536    0.009    0.000    0.019    0.000 typing.py:986(__setattr__)
       12    0.000    0.000    0.018    0.002 magic_arguments.py:233(__call__)
     1168    0.015    0.000    0.018    0.000 sre_compile.py:292(_optimize_charset)
